Acrobat Reader;Adobe.Acrobat.Reader.32-bit
Amazon Games;Amazon.Games
Amazon Music;Amazon.Music
Android Studio;Google.AndroidStudio
Bing Wallpaper;Microsoft.BingWallpaper
Brave;Brave.Brave
Canva;Canva.Canva
Dbeaver;dbeaver.dbeaver
Dropbox;Dropbox.Dropbox
Epic;EpicGames.EpicGamesLauncher
Evernote;evernote.evernote
ffmpeg;Gyan.FFmpeg
Figma;Figma.Figma
Galaxy Buds;Samsung.GalaxyBudsManager
Gerador de flashcards para estudo;Anki.Anki
GitHub Desktop;GitHub.GitHubDesktop
Google Drive;Google.GoogleDrive
Insync;Insynchq.Insync
JDK8;Oracle.JavaRuntimeEnvironment
Microsoft 365;Microsoft.Office
Microsoft AppRuntime 1.3;Microsoft.WindowsAppRuntime.1.3
Microsoft Power Bi;Microsoft.PowerBI
MobaXterm;Mobatek.MobaXterm
ModernFlyouts;ModernFlyouts.ModernFlyouts
Notepad++;Notepad++.Notepad++
Notion;Notion.Notion
OneDrive;Microsoft.OneDrive
Oracle VM VirtualBox;Oracle.VirtualBox
PCManager;Microsoft.PCManager
Playnite;Playnite.Playnite
Postman;Postman.Postman
PowerToys;Microsoft.PowerToys
Spotify;Spotify.Spotify
Steam;Valve.Steam
Teams For Work and School;Microsoft.Teams
Visual Studio Code;Microsoft.VisualStudioCode
Vivaldi;Vivaldi.Vivaldi
XMouseButtonControl;Highresolution.X-MouseButtonControl
Zoom;Zoom.Zoom
